id,description,object_img
520,"Фотография. Г. Пермь. Здание горисполкома.  ПОКМ-19594/97 фотобумага,фотопечать     ",799
1817,"Фотонегатив пленочный. Труппа театра «У моста» в день презентации театра.  ПОКМ-18907/65 фотопленка,фотосъемка    Селиверстов Михаил Анатольевич ",854
188,"Изразец гладкий расписной ""пермский""- карниз А/РУС-143 ПОКМ-18870/50 [эмаль (белая, зеленая)],глина (красная),эмалирование,формовка,роспись     Карниз с выпукло-вогнутой лицевой поверхностью и росписью в виде рамки зеленой эмали на белом фоне по краям лицевой пластины (ПГУ 1706/246, Р-2, уч. Г/13, гл.  0,8-1,5 м)",1794
1472,"Фотонегатив пленочный. Серебряная чаша из Хорезма (III-IV вв.). Найдена в деревне Бартым, Березовского района, Пермской области.  ПОКМ-18204/16 фотосъемка,фотопленка    Тартаковский Сергей А. (Фотограф) Изображение чаши с чеканным рельефом на зеркале (фигура верхом на льве). Вид сверху.",526
1664,"Фотонегатив стеклянный. Этнография коми-пермяков. Крестьянки из села Косы Гайнской волости (сидят).  ПОКМ-10820/130 стекло     Изображение трех сидящих женщин в рубашках, сарафанах с передниками, на головах женщин слева и справа самшуры, у женщины в центре в руках платок; за ними развешенное на бревенчатой стене полотно.",244
2048,"Фотография. Дом № 124 по ул. Орджоникидзе в г. Перми, где жил Окулов в 1918 году.  ПОКМ-11453/323 фотобумага,фотопечать     ",917
1256,"Фотонегатив пленочный. Пермский НПК, общий вид строительства химкомплекса.  ПОКМ-15000/135 фотосъемка,пленка    Загуляев Евгений Николаевич (Фотограф) Изображение строительства завода. С одной стороны вертикальные трубы, с другой - горизонтальные. Вокруг труб металлические конструкции.",1069
2317,"ПЗС. Подвеска шумящая коньковая на цепочке  ПКМ-21126/2 литье,бронза     Подвеска шумящая коньковая на цепочке. Основа подвески - плоская двухсторонняя пластина трапециевидной формы, от верхних углов трапеции отходят конские головки на длинных изогнутых шеях, между ними на стерженьке расположено кольцевидное ушко для подвешивания. Изображения коней схематичные, но легко узнаваемые. Гривы отмечены гладкими поперечными валиками, пространство между шеями орнаментировано тремя рядами узких дуговидных валиков. В широкой нижней части основы имеется четыре полукруглых выступа с круглыми отверстиями для крепления привесок, над ними - поперечная полоса - широкий уплощенный валик с прямыми насечками. Привески состоят из одного звена восьмерковидной цепочки (средняя часть перекручена), концевые подвески - колокольчики с гладким туловом и двумя концентрическими бороздками на концах. К ушку прикреплена цепочка из овальных проволочных звеньев.",2114
1562,"Этюд. ""Раздумье"".  ПОКМ-19728/20 бумага,акварель    Смирнов Валентин Петрович Летний пейзаж. На переднем плане дорога в коричневых тонах, справа стоит белая коза, далее дощатый забор, из-за которого видны двускатные крыши деревенских домов и высокая сосна слева. На дальнем  плане - размытые очертания холмов, серое небо.",2555
2022,"Фотокопия. Карл Витте с семьей.  ПОКМ-10959/62 фотопечать,фотобумага     Изображение пяти сидящих человек: слева усатый мужчина слева, перед ним на табурете мальчик, в центре на высоком столике девочка в светлом платье, справа женщина с грудным ребенком на руках.",946
