chb;age;gender;chit_type
300001020830;21;female;нет данных
300001113642;36;female;нет данных
300001148466;46;female;нет данных
300001117011;22;female;нет данных
200001038094;24;female;echb
200001120504;22;female;нет данных
300000849123;27;male;нет данных
300001002599;21;female;нет данных
200000931895;28;female;нет данных
300000806816;23;female;normal
100000996254;52;female;нет данных
200001168938;30;female;нет данных
300001010733;36;male;нет данных
200000884890;22;male;нет данных
300001133767;19;female;нет данных
200001080069;24;female;нет данных
200001133240;32;female;нет данных
300000769999;63;female;нет данных
300001027197;39;male;нет данных
300001084875;26;female;нет данных
200001091983;26;male;нет данных
300000746753;53;female;нет данных
300001058251;25;male;normal
200001076151;20;female;нет данных
300000918442;67;male;нет данных
200001149367;24;female;нет данных
300001114647;24;male;нет данных
200001126554;34;female;нет данных
200001112539;18;female;нет данных
200001143071;21;male;нет данных
200001152060;24;female;нет данных
200001140457;31;male;нет данных
300001029745;40;male;нет данных
300000856691;31;female;нет данных
300001173062;24;female;нет данных
200001054344;27;female;нет данных
200001113118;23;male;нет данных
200000848119;22;female;нет данных
300001115367;23;female;нет данных
300000912539;29;female;normal
300001153228;59;female;нет данных
100000947602;32;female;нет данных
200001112794;38;female;нет данных
300001090509;49;female;нет данных
200001064182;21;female;нет данных
300001129118;33;male;нет данных
200000844350;27;female;normal
300001078962;26;female;нет данных
300001037686;33;male;normal
200001114931;25;female;нет данных
300001080514;24;female;нет данных
200000926335;40;female;нет данных
300001031579;39;male;нет данных
300001019276;34;female;echb
300001128899;22;female;нет данных
100000962241;90;male;нет данных
300000905805;42;male;нет данных
200000818744;45;male;нет данных
300001049580;24;male;echb
200000906614;35;female;normal
100001001808;63;male;нет данных
200001143097;28;male;нет данных
200000886406;29;male;normal
300000945480;39;female;normal
300000936339;23;female;normal
300000814625;26;male;нет данных
200000845600;55;male;нет данных
200000962900;25;male;normal
300000811586;42;female;нет данных
200001138759;24;female;нет данных
300001003462;21;male;нет данных
200001125954;38;female;нет данных
200001097763;68;female;нет данных
200001137646;23;male;нет данных
300001029391;35;female;нет данных
200001104494;22;male;нет данных
200000998981;50;male;нет данных
200001120874;19;male;нет данных
300001013495;23;male;нет данных
300001090427;33;male;нет данных
300001105129;27;male;нет данных
200000860041;26;male;normal
300001112572;36;female;нет данных
300001129283;39;male;нет данных
300001081626;22;female;echb
