chb;sys_numb
100001137125;RSL01000591218
100001137125;RSL01002155431
100001137125;RSL01001500214
100001137125;RSL01004722252
200000795041;RSL01000254680
200000795041;RSL01004729316
200000795041;RSL01010170341
200000795041;RSL01008683517
200001131932;RSL01003757978
200001131932;RSL01003605545
200001131932;RSL01003790897
200001131932;RSL01009184689
300001035981;RSL01000684203
300001035981;RSL01008552678
300001035981;RSL01002888048
300001035981;RSL01010429638
300001035981;RSL01003476196
100000909919;RSL01006758143
100000909919;RSL01004712878
100000909919;RSL01004904669
300000900165;RSL01009815412
300001121509;RSL01004342468
300001121509;RSL01003504206
200001061911;RSL01010383596
200001061911;RSL01010544327
200001061911;RSL01005486818
200001001714;RSL01001582109
200001001714;RSL01001619222
200001001714;RSL01006101201
200001001714;RSL01005036795
200001001714;RSL01001155710
100001082179;RSL01000578498
100001082179;RSL01009379458
100000825493;RSL01010567309
200000890841;RSL01008874662
200000890841;RSL01010183711
300001064517;RSL01003542115
300001064517;RSL01005402765
300001064517;RSL01003822960
300001064517;RSL01007887705
300001121125;RSL02000014767
300001121125;RSL07000394534
300001121125;RSL01009940849
300001121125;RSL01004744190
300001121125;RSL01004056749
300001121125;RSL01009718466
300001121125;RSL01007901744
300001121125;RSL01009776895
300001121125;RSL01010564878
300001121125;RSL01010580657
300000972104;RSL01005547775
200000871104;RSL01006372501
200000871104;RSL01006073113
200000871104;RSL01007153703
300000885393;RSL01004741888
300000885393;RSL01007532254
300000885393;RSL01003371794
300000885393;RSL01010355437
300000997112;RSL01000562537
300000997112;RSL01004832977
200000966791;RSL07000422096
200000966791;RSL02000011077
200000966791;RSL60000095064
200000966791;RSL02000020962
200000966791;RSL07000424079
200000966791;RSL07000354709
200000966791;RSL07000428995
200000966791;RSL02000007387
200000966791;RSL07000395862
200000823068;RSL01009885345
200000823068;RSL01010404295
200000823068;RSL01005021517
200000823068;RSL01009883947
300001001480;RSL01010253703
300001001480;RSL01006534969
300001001480;RSL01004649109
300001001480;RSL01004348187
300001001480;RSL01008502769
300001001480;RSL01009765014
300001001480;RSL01009446057
300001001480;RSL01008561061
300001001480;RSL01008681932
300001001480;RSL01008561269
300001001480;RSL01000343516
300001001480;RSL01007900656
300001001480;RSL01004852529
300001001480;RSL01010972719
300001001480;RSL01010972720
200000952623;RSL01003422693
200000952623;RSL01003304349
200000952623;RSL01008638669
200000952623;RSL01007857682
200000952623;RSL01004576835
200000952623;RSL01003315021
200000952623;RSL01007530666
200000952623;RSL01006593659
200000952623;RSL01006771210
100001059118;RSL01001793026
100001059118;RSL01008257825
100001019604;RSL01003614811
200001017150;RSL01009824143
200001017150;RSL01009814135
200001017150;RSL01009824106
200001017150;RSL01009814146
200001017150;RSL01009819709
200001017150;RSL01009814140
200001017150;RSL01009814138
200001017150;RSL01009814151
200001017150;RSL01009814144
200001017150;RSL01009824080
200001017150;RSL01009824130
200001017150;RSL01009824124
200001017150;RSL01009824141
200001017150;RSL01009824084
200001110328;RSL01000668585
200001110328;RSL01000981678
200001110328;RSL01000760197
200001110328;RSL01000672835
200001110328;RSL01004148426
200001110328;RSL01000760184
200001110328;RSL01009643563
200001110328;RSL01008681045
200001110328;RSL01005545300
200001110328;RSL01005430729
200001081955;RSL01000755879
300001109544;RSL01009479615
300001109544;RSL01009918256
300001109544;RSL01010134603
300001109544;RSL01010270802
300001109544;RSL01008674842
300001068706;RSL01000662697
300001068706;RSL01002626336
300001105896;RSL01005679399
300001105896;RSL01005666659
300001105896;RSL01005696579
300001052893;RSL01001591571
300001052893;RSL01001491992
200000790715;RSL01004274569
200000840464;RSL01002374800
200000840464;RSL01010555418
200000840464;RSL01010451501
200000967807;RSL01009499640
200000967807;RSL01009499843
200000967807;RSL01009498517
200000967807;RSL01009497486
200000967807;RSL01009499659
200001134838;RSL01004720727
200001134838;RSL01009851172
300001136713;RSL01004072082
300001136713;RSL01004938846
100000897379;RSL01008662991
100000897379;RSL01001455410
100000897379;RSL01001495969
300001101012;RSL01000205022
300001101012;RSL01004398909
300001101012;RSL01003349682
300001101012;RSL01003349747
300001101012;RSL01003015303
300000931521;RSL01008309840
300000931521;RSL01008309841
300000931521;RSL01007599700
300000931521;RSL01006872452
300000931521;RSL01005660507
200001034771;RSL01007838157
200001034771;RSL01003194174
200001034771;RSL01010579105
200001034771;RSL01004243528
200001034771;RSL01004274255
200001034771;RSL01009495639
200001034771;RSL01009707567
200001034771;RSL01006731586
200001034771;RSL01000704285
200000921337;RSL01007772445
200000921337;RSL01000955582
200000921337;RSL01009192645
200000921337;RSL07000373286
200000921337;RSL07000436671
200000921337;RSL07000416442
200000921337;RSL07000423800
200000921337;RSL07000354295
200000921337;RSL02000023402
200000921337;RSL07000402942
200000921337;RSL02000006527
200000921337;RSL07000450055
200000921337;RSL07000437109
200000921337;RSL07000451526
200000921337;RSL07000397515
200000921337;RSL02000023038
200000921337;RSL07000456767
200000921337;RSL07000459439
300001002933;RSL01005304537
300001002933;RSL01005261297
300001002933;RSL01005197902
300001002933;RSL01005310981
300001002933;RSL01005896810
300001002933;RSL01006239852
300001002933;RSL01006012439
200001017661;RSL01010246456
200001017661;RSL01008758689
200001017661;RSL01007985121
200001017661;RSL01010175693
200001076370;RSL01010214696
200001076370;RSL01002954988
200001076370;RSL01004047484
200001076370;RSL01004877914
200001076370;RSL01007567699
300001140344;RSL01005330140
300001140344;RSL01005278961
300001140344;RSL01009191775
200001070838;RSL01002301931
200001070838;RSL01002619210
300000899406;RSL02000017183
300000899406;RSL07000353743
300000899406;RSL07000455537
300000899406;RSL07000363258
300000899406;RSL07000442428
300000899406;RSL07000414633
300000899406;RSL07000389232
300000899406;RSL07000445300
300000899406;RSL07000445114
100000774119;RSL01008824843
100000774119;RSL01006504397
100000774119;RSL01010328309
100000774119;RSL01007800633
300001164340;RSL07000426439
300001164340;RSL07000436188
300001164340;RSL02000024013
300000934972;RSL01007889051
300000934972;RSL01007892215
300000934972;RSL01007925913
300000934972;RSL01006533596
300001037159;RSL01007507588
300001037159;RSL01001448906
300001037159;RSL01001759855
300001141640;RSL01004611457
300001141640;RSL01001540105
300001141640;RSL01007209751
300001141640;RSL01009834930
300001141640;RSL01008128401
300001141640;RSL01009913816
300001141640;RSL01009707604
300001141640;RSL01008684622
300001141640;RSL01009823941
300001141640;RSL01008809606
300001141640;RSL01008593743
300001141640;RSL01009629141
300001141640;RSL01009915407
300001141640;RSL01008859231
300001141640;RSL01009000247
300001141640;RSL01008903229
300001074120;RSL01010325573
300001074120;RSL01009682235
300001074120;RSL01003314431
200000985229;RSL07000447882
200000985229;RSL07000443750
200000985229;RSL07000465253
200000985229;RSL07000435075
200000985229;RSL07000354308
200000985229;RSL07000377653
200001059960;RSL01004042894
